Key,Arabic
Account,حساب
Account settings,إعدادت الحساب
Activity log,سجل النشاطات
Add,ضف
Add connection,إضافة اتصال
Add dictionary,إضافة القاموس
Add document type,إضافة نوع المستند
Add file,اضف ملف
Add language,إضافة لغة
Add link,إضافة رابط
Add page,إضافة صفحة
Add template,إضافة قالب
Add thesaurus,أضف قائمة المفردات
Add to all languages,إضافة إلى جميع اللغات
Add user,إضافة مستخدم
Add/delete users and assign roles,إضافة / حذف المستخدمين وتعيين الأدوار
Add/edit translations,إضافة / تحرير الترجمات
Admin,مشرف
Advanced settings,إعدادات متقدمة
Allowed Public Templates,القوالب العامة المسموح بها
Any value,اي قيمة
Apply properties to documents/entities,تطبيق خصائص للمستندات / الكيانات
Attachments,المرفقات
Back,عودة
Cancel,الغاء
Change password,تغيير كلمة المرور
check as private instance,لجعل الحسب خاص
Close session,اغلق
Collection,المجموعة
Collection settings,إعدادات المجموعة
Configure filters,ضبط قوائم تصفيه البيانات
Confirm,تأكيد
Confirm delete document type message,تأكيد حذف رسالة نوع المستند
Confirm delete document type title,تأكيد حذف عنوان نوع المستند
Confirm delete multiple items,هل ترغب في حذف كل العناصر المختارة؟
Confirm new password,تأكيد كلمة المرور الجديدة
Connection type,نوع الاتصال
Connections,روابط
Create a table of contents,إنشاء جدول المحتويات
Create connections and references,إنشاء الاتصالات والمراجع
Create dictionaries,إنشاء قواميس
Create document and entity types,إنشاء أنواع مستندات وكيانات
Create group,إنشاء مجموعة
Custom CSS,CSS تنسيق
Custom page,تنسيق الصفحة
Customisation,التخصيص
Date added,تم إضافة التاريخ
Date format,صيغة التاريخ
Delete,حذف
Delete documents and entities,حذف الوثائق والكيانات
Delete language,حذف اللغة
Dictionaries,قواميس
Discard changes,تجاهل التغييرات
Document and entity types,انواع الوثائق والكيانات
Document types,أنواع المستندات
Documents,وثائق
Downloads,التحميلات
Duplicated name,اسم مكرر
Edit,تحرير
Editor,محرر
Email,بريد إلكتروني
Email address,عنوان البريد الإلكتروني
Email updated,تم تحديث البريد الإلكتروني
Entities,الكيانات
Filename label,اسم الملف
Filters,قوائم تصفيه البيانات
Filters AND operator,و
Filters configuration,ضبط قوائم تصفية البيانات
Filters OR operator,او
Flag,علم
Forgot Password?,هل نسيت كلمة المرور؟
Google Analytics ID,معرف Google Analytics
hubs,محاور
Icon,أيقونة
in,في
Info,معلومات
Invalid form,المدخلات غير صحيحة او غير مكتمله. رجاء التصحيح واعادج المحاولة
"Label date ""From""",من:
"Label date ""to""",إلى:
Landing page,الصفحة الرئيسية
Language,لغة
Least recently,من الزمن الابعد
Library,مكتبة
List view,عرض القائمة
Login,تسجيل الدخول
Login button,زر تسجيل الدخول
Login failed,فشل عملية الدخول
Logout,تسجيل خروج
Mailer configuration,Mailer ضبط
Manage site settings and configuration,إدارة إعدادات الموقع
Map view,عرض الخريطة
MapTiler key,مفتاح maptiler
Maximum,الحد الاقصي
Menu,قائمة التحكم
Metadata,البيانات الوصفية
Minimum,الحد الأدنى
My Files,ملفاتي
Name,اسم
Name connections,اسم اتصالات
New entity,كيان جديد
New password,كلمة المرور الجديدة
No,لا
No common filters,لا مشترك بين قوائم التصفيه
No Connections,لا اتصالات
No Connections description,الاتصالات هل العلاقات المباشرة بين تلك الوثيقة و الوثائق والكيانات الاخرد
No Label,لا تسمية
No options found,لم يتم العثور على خيارات
No property,هذه الخاصية غير متوفرة
No References,لا مرجع
No References description,المراجع هي اجزاء من الوثيقة التي لها علاقة بوثائق وكيانات أخرى
No Relationships,لا توجد علاقات
No Relationships description,العلاقات هي الروابط بين الكيانات
No Table of Contents,لا يوجد جدول المحتويات
No Table of Contents description,لا جدول محتويات الوصف
No text match,لا يوجد نص تطابق
No text match description,يمكنك كتابه نص مختلف للحصول على بعض النتائج
No type,لا نوع
No value,لا قيمة
of,من
Order,ترتيب
Other,آخر
Pages,الصفحات
Password,كلمه المرور
Password Error,خطأ كلمة المرور
Password updated,تم تحديث كلمة المرور
Private documents,المستندات الخاصة
Private instance,قاعدة بيانات داخلية
Public documents,الوثائق العامة
Publish,انشر
Recently,حديثا
References,مراجع
Relationship,صلة
Relationship types,أنواع العلاقات
Relationships,العلاقات
RelationType saved,تم حفظ نوع العلاقة
Relevance,ملاءمة
Reset,إعادة ضبط
Role,دور
Save,احفظ
Search,ابحث
Search connections,بحث في الاتصالات
Search item,البحث عن بند
Search related entities or documents,البحث عن الكيانات أو المستندات ذات الصلة
Search relevance,ملائمة البحث
Search text,بحث النص
Search text description,اكتب نص في خانة البحث لتظهر بعض النتائج
Search Tips: boolean,نصائح البحث: Boolean
Search Tips: exact term,نصائح البحث: المصطلح الدقيق
Search Tips: one char wildcard,نصائح البحث: واحد char wildcard
Search Tips: proximity,بحث نصائح: القرب
Search Tips: wildcard,نصائح البحث: Wildcard
Select list,اختر القائمة
selected,المحدد
Send recovery email,إرسل بريد الكتروني للاستعادة
Separator,فاصل
Settings,إعدادات
Settings updated,تم تحديث الإعدادات
Show more,أظهر المزيد
Sign in,تسجيل الدخول
Size,حجم
Sort by,ترتيب حسب
sorted by,مرتبة حسب
Table of Contents,جدول المحتويات
Templates,قوالب
Text,نص
Thesauri,قائمة المفردات
Thesaurus saved,تم حفظ قائمة المفردات
This action will unselect all the entities.,هذا الإجراء سوف يلغي اختيار جميع الكيانات التي تم تحديدها
Title,عنوان
Tools,الأدوات
Translate,ترجم
Translations,الترجمات
Translations saved,تم حفظ الترجمات
Type,نوع
Update,تحديث
Upload documents and create entities,تحميل المستندات وإنشاء الكيانات
Uploading,جاري التحميل
Uploads,تحميلات
User,المستخدم
Username,اسم المستخدم
Users,المستخدمين
View,عرض
View in library,عرض في المكتبة
x less,X أقل
x more,X أكثر
% of sentences above threshold,
(please keep this key secret and don't share it):,(يرجى الحفاظ على سرية المفتاح ولا تشاركه):
(view page),(عرض الصفحة)
(+) click to select multiple cards,(+) انقر لتحديد بطاقات متعددة
- Entity:,كيان
- Library search:,- بحث المكتبة:
- Site page:,- صفحة الموقع:
1. Right-click an image or video on the web and copy the image's URL. Altenatively websites offers share button whereyou can get URL.,1. انقر بزر الماوس الأيمن علي الصورة أو الفيديو على الويب ونسخ عنوان URL التابع له. تقدم مواقع الويب زر للمشاركة بحيث يمكنك الحصول على عنوان URL.
2. Return here and paste the URL in this field (Ctrl+V or Command+V),2. رجاء العودة هنا ولصق عنوان URL في هذا الحقل (CTRL + V أو COMMAND + V)
A generated ID will be the default title.,سيكون معرف تم إنشاؤه العنوان.
Accept,
Action,
Activate this feature for enhanced account security,
Active Languages,
Add / remove favorite,
Add date,
Add entities / documents,
Add from url,
Add from web,
Add group,
Add people or groups,
Add resource,
Add supporting file,
Add to table of contents,
Add users,
Adjacent geolocation properties will render on the same map,
Administrators and Editors,
"All changes will be lost, are you sure you want to proceed?",
All entities and documents that have already this property assigned will loose its current value,
"Always use URLs relative to your site, starting with / and skipping the domain name. Example:",
An error has occured during data export,
Analytics description,
Anyone will be able to see them,
Authentication code,
Auto-save,
Automatic Table of Contents,
Automatically generated,
Available Languages,
Back to,
Back to search,
Back to thesauri,
Back to thesaurus,
Body,
Browse files to upload,
Browse your PDFs to upload,
Can edit,
Can see,
Can view,
Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.,
Captcha,
Cards,
Cards View,
Caution: the selected entities will be,
Change will take effect after saving the template,
Changing the type will erase all connections to this entity.,
Character support description,
Character support process warning,
Character support revert warning,
Check to make this instance private (only logged-in users can access the data),
Clear Filters,
Clear coordinates,
Click here,
Click to fill,
Close,
Collaborator,
Configure suggestions,
Configure the default landing page for your site.,
Confirm deletion,
Confirm publish multiple items,
Congratulations!,
Connect to a document,
Connect to a paragraph,
Conversion failed,
Copy From,
Copy Highlighted,
Copy link,
Copy properties to this entity from,
Create,
Create Entity,
Currently connections only need a title.,
Custom Uploads,
Custom component error,
Custom styles,
Data imported,
Date modified,
Day,
Default language,
Default language change success,
Default language description,
Default template,
Delete Group,
Delete Property,
Delete User,
Description,
Discard,
Display entity view from page,
Document,
Document Title,
Document contents,
Documentation,
Documents for custom filter,
Documents including suggestion:,
Documents to be reviewed,
Download,
Drag and drop file in this window to upload,
Drag items here,
Drag properties here,
Drop your files here to upload or,
Duplicated email,
Duplicated label,
Duplicated username,
Edit all documents matching this criteria,
Email is required,
Enable this page to be used as an entity view page:,
Enter the 6-digit verification code generated by your Authenticator app:,
"Entities can be displayed in a custom page. For that, a custom page needs to be created in Pages, and then selected here.",
Entity,
Entity types,
Error,
Examples,
Exploration,
Export CSV,
Exporting entities to CSV,
Extract information from your documents,
Favicon is an icon that appears in the browser tab and bookmarks.,
File,
Fill,
Filters configuration description,
Filters configuration example,
Find,
Fine tune,
Fit,
"For better performance, upload your documents in batches of 50 or less.",
"For better performance, upload your files in batches of 50 or less.",
Forms and email configuration,
Full edit mode,
General,
Global CSS,
Groups,
Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,
Hold shift to rotate the map,
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",
"If it is an internal URL within this website, be sure to delete the first part",
"If you have added a contact form on one of your pages, this is the email address that receives the information from that form.",
"If you want to continue, please type",
Import,
Import CSV,
Import completed:,
Import instructions,
Importing data in progress,
Improve the quality of this topic's suggestions by finding more sample documents with this label.,
Indexing entities may take a few minutes,
Inherit property,
Install the Google Authenticator app on your mobile device,
Instructions to reset user password have been sent,
Invalid captcha,
Invalid email,
Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes,
It could also very easily break the app. Only write code here if you know exactly what you are doing.,
Items:,
Label,
Label more documents,
Label your collection note,
Language deleted,
Languages,
Latitude,
Learn more,
Learning...,
Legend,
Longitude,
ML TOC,
Map,
Maps,
Mark as Reviewed,
Markdown,
Members,
Message,
Metadata Extraction,
Metadata creator,
Metadata extraction dashboard,
Metadata to extract,
Mixed access,
Month,
Multimedia fill description,
Multimedia fit description,
Multiple relationships edit description,
Name is required,
Name is too long,
Name is too short,
Name of the group,
Narrow down your searches,
Narrow your search,
New language added,
New relationships group,
Newest,
Next,
No Documents found,
No Table of Contents,
No attachments,
No icon / flag,
No relationship types warning,
Normal view,
Nothing to see here! The selected documents are not using the selected thesaurus,
Number of sentences above threshold,
Ok,
Oldest,
Only allowed users will be able to see them,
Ooops... please go,
Oops! We couldn't find the thesaurus you're trying to edit. Try navigating back to this page through Settings.,
"Open the app and select ""Add Account"" (usually a plus symbol)",
Open the two-factor Authenticator app on your device,
Or enter this secret key into your Authenticator app,
PRIMARY DOCUMENTS,
Page,
Page Javascript,
Password is too long,
Passwords don’t match,
Permission,
Permission on entities explicitly shared with the user,
Permissions,
Plain text,
Please contact an admin for details.,
Please type in letters and numbers from the image to start the export.,
Precision,
Press enter to add,
Preview,
Previous,
Priority sorting,
Priority sorting description,
ProTip!,
Processing,
Properties,
Properties from other templates in the collection using the same label,
