Key,Spanish,,,,,,,,,,,,,,,,,,,,
Account,Cuenta,,,,,,,,,,,,,,,,,,,,
Account settings,Configuración de la cuenta,,,,,,,,,,,,,,,,,,,,
Activity log,Registro de actividad,,,,,,,,,,,,,,,,,,,,
Add,Añadir,,,,,,,,,,,,,,,,,,,,
Add connection,Añadir conexión,,,,,,,,,,,,,,,,,,,,
Add dictionary,Añadir diccionario,,,,,,,,,,,,,,,,,,,,
Add document type,Añadir tipo de documento,,,,,,,,,,,,,,,,,,,,
Add file,Añadir archivo,,,,,,,,,,,,,,,,,,,,
Add language,Añadir idioma,,,,,,,,,,,,,,,,,,,,
Add link,Añadir enlace,,,,,,,,,,,,,,,,,,,,
Add page,Añadir página,,,,,,,,,,,,,,,,,,,,
Add template,Añadir plantilla,,,,,,,,,,,,,,,,,,,,
Add thesaurus,Añadir tesauro,,,,,,,,,,,,,,,,,,,,
Add to all languages,Añadir a todos los idiomas,,,,,,,,,,,,,,,,,,,,
Add user,Añadir usuarie,,,,,,,,,,,,,,,,,,,,
Add/delete users and assign roles,Añadir / Eliminar usuarios y asignar roles,,,,,,,,,,,,,,,,,,,,
Add/edit translations,Añadir / editar traducciones,,,,,,,,,,,,,,,,,,,,
Admin,Administración,,,,,,,,,,,,,,,,,,,,
Advanced settings,Configuración avanzada,,,,,,,,,,,,,,,,,,,,
Allowed Public Templates,Plantillas Públicas Permitidas,,,,,,,,,,,,,,,,,,,,
Any value,Cualquier valor,,,,,,,,,,,,,,,,,,,,
Apply properties to documents/entities,Aplicar propiedades a documentos / entidades,,,,,,,,,,,,,,,,,,,,
Attachments,Archivos adjuntos,,,,,,,,,,,,,,,,,,,,
Back,Volver,,,,,,,,,,,,,,,,,,,,
Cancel,Cancelar,,,,,,,,,,,,,,,,,,,,
Change password,Cambiar la contraseña,,,,,,,,,,,,,,,,,,,,
check as private instance,Definir como instancia privada,,,,,,,,,,,,,,,,,,,,
Close session,Cerrar sesión,,,,,,,,,,,,,,,,,,,,
Collection,Colección,,,,,,,,,,,,,,,,,,,,
Collection settings,Configuración de la colección,,,,,,,,,,,,,,,,,,,,
Configure filters,Configurar filtros,,,,,,,,,,,,,,,,,,,,
Confirm,Confirmar,,,,,,,,,,,,,,,,,,,,
Confirm delete document type message,Mensaje de confirmación de eliminación de tipo de documento,,,,,,,,,,,,,,,,,,,,
Confirm delete document type title,Confirmar eliminación del título de tipo de documento,,,,,,,,,,,,,,,,,,,,
Confirm delete multiple items,Confirmar eliminación de múltiples elementos,,,,,,,,,,,,,,,,,,,,
Confirm new password,Confirmar nueva contraseña,,,,,,,,,,,,,,,,,,,,
Connection type,Tipo de relación guardada,,,,,,,,,,,,,,,,,,,,
Connections,Relaciones,,,,,,,,,,,,,,,,,,,,
connections,relaciones,,,,,,,,,,,,,,,,,,,,
Create a table of contents,Crear una Tabla de Contenidos,,,,,,,,,,,,,,,,,,,,
Create connections and references,Crear relaciones y referencias,,,,,,,,,,,,,,,,,,,,
Create dictionaries,Crear tesauros,,,,,,,,,,,,,,,,,,,,
Create document and entity types,Crear tipos de documentos y entidades,,,,,,,,,,,,,,,,,,,,
Create group,Crear grupo,,,,,,,,,,,,,,,,,,,,
Custom CSS,CSS personalizado,,,,,,,,,,,,,,,,,,,,
Custom page,Página personalizada,,,,,,,,,,,,,,,,,,,,
Customisation,Personalización,,,,,,,,,,,,,,,,,,,,
Date added,Fecha Añadida,,,,,,,,,,,,,,,,,,,,
Date format,Formato de fecha,,,,,,,,,,,,,,,,,,,,
Delete,Eliminar,,,,,,,,,,,,,,,,,,,,
Delete documents and entities,Eliminar documentos y entidades,,,,,,,,,,,,,,,,,,,,
Delete language,Eliminar idioma,,,,,,,,,,,,,,,,,,,,
Dictionaries,Tesauros,,,,,,,,,,,,,,,,,,,,
Discard changes,Descartar cambios,,,,,,,,,,,,,,,,,,,,
Document and entity types,Tipos de documento y entidad,,,,,,,,,,,,,,,,,,,,
Document types,Tipos de documento,,,,,,,,,,,,,,,,,,,,
Documents,Documentos,,,,,,,,,,,,,,,,,,,,
documents,documentos,,,,,,,,,,,,,,,,,,,,
Downloads,Descargas,,,,,,,,,,,,,,,,,,,,
Duplicated name,Nombre duplicado,,,,,,,,,,,,,,,,,,,,
Edit,Editar,,,,,,,,,,,,,,,,,,,,
Editor,Editor,,,,,,,,,,,,,,,,,,,,
Email,Correo electrónico,,,,,,,,,,,,,,,,,,,,
Email address,Dirección de correo electrónico,,,,,,,,,,,,,,,,,,,,
Email updated,Correo electrónico actualizado,,,,,,,,,,,,,,,,,,,,
Entities,Entidades,,,,,,,,,,,,,,,,,,,,
Filename label,Nombre de archivo,,,,,,,,,,,,,,,,,,,,
Filters,Filtros,,,,,,,,,,,,,,,,,,,,
Filters AND operator,Y,,,,,,,,,,,,,,,,,,,,
Filters configuration,Configuración de filtros,,,,,,,,,,,,,,,,,,,,
Filters OR operator,O,,,,,,,,,,,,,,,,,,,,
Flag,Bandera,,,,,,,,,,,,,,,,,,,,
Forgot Password?,¿Has olvidado tu contraseña?,,,,,,,,,,,,,,,,,,,,
Google Analytics ID,ID de Google Analytics,,,,,,,,,,,,,,,,,,,,
hubs,nodos,,,,,,,,,,,,,,,,,,,,
Icon,Icono,,,,,,,,,,,,,,,,,,,,
in,en,,,,,,,,,,,,,,,,,,,,
Info,Información,,,,,,,,,,,,,,,,,,,,
Invalid form,Formulario no válido,,,,,,,,,,,,,,,,,,,,
"Label date ""From""",De:,,,,,,,,,,,,,,,,,,,,
"Label date ""to""",A:,,,,,,,,,,,,,,,,,,,,
Landing page,Página de destino,,,,,,,,,,,,,,,,,,,,
Language,Idioma,,,,,,,,,,,,,,,,,,,,
Least recently,Menos reciente,,,,,,,,,,,,,,,,,,,,
Library,Colección,,,,,,,,,,,,,,,,,,,,
List view,Vista de lista,,,,,,,,,,,,,,,,,,,,
Login,Acceder,,,,,,,,,,,,,,,,,,,,
Login button,Inicio de Sesión,,,,,,,,,,,,,,,,,,,,
Login failed,Error de inicio de sesión,,,,,,,,,,,,,,,,,,,,
Logout,Cerrar Sesión,,,,,,,,,,,,,,,,,,,,
Mailer configuration,Configuración de envío de correo,,,,,,,,,,,,,,,,,,,,
Manage site settings and configuration,Configuración del sitio,,,,,,,,,,,,,,,,,,,,
Map view,Vista de mapa,,,,,,,,,,,,,,,,,,,,
MapTiler key,MapTiler key,,,,,,,,,,,,,,,,,,,,
Maximum,Máximo,,,,,,,,,,,,,,,,,,,,
Menu,Menú,,,,,,,,,,,,,,,,,,,,
Metadata,Metadatos,,,,,,,,,,,,,,,,,,,,
Minimum,Mínimo,,,,,,,,,,,,,,,,,,,,
My Files,Mis Archivos,,,,,,,,,,,,,,,,,,,,
Name,Nombre,,,,,,,,,,,,,,,,,,,,
Name connections,Nombre de conexiones,,,,,,,,,,,,,,,,,,,,
New entity,Nueva entidad,,,,,,,,,,,,,,,,,,,,
New password,Nueva contraseña,,,,,,,,,,,,,,,,,,,,
No,No,,,,,,,,,,,,,,,,,,,,
No common filters,No existen filtros comunes,,,,,,,,,,,,,,,,,,,,
No Connections,No existen relaciones,,,,,,,,,,,,,,,,,,,,
No Connections description,No existe descripción de conexiones,,,,,,,,,,,,,,,,,,,,
No Label,No existe etiqueta,,,,,,,,,,,,,,,,,,,,
No options found,Opciones no encontradas,,,,,,,,,,,,,,,,,,,,
No property,Ninguna propiedad,,,,,,,,,,,,,,,,,,,,
No References,Sin referencias,,,,,,,,,,,,,,,,,,,,
No References description,No existe descripción de referencias,,,,,,,,,,,,,,,,,,,,
No Relationships,No existen relaciones,,,,,,,,,,,,,,,,,,,,
No Relationships description,No existe descripción de relaciones,,,,,,,,,,,,,,,,,,,,
No Table of Contents,Sin Tabla de Contenidos,,,,,,,,,,,,,,,,,,,,
No Table of Contents description,Sin descripción de Tabla de Contenidos,,,,,,,,,,,,,,,,,,,,
No text match,Sin coincidencias de texto,,,,,,,,,,,,,,,,,,,,
No text match description,No existe descripción de la coincidencia,,,,,,,,,,,,,,,,,,,,
No type,Sin tipo,,,,,,,,,,,,,,,,,,,,
No value,Sin valor,,,,,,,,,,,,,,,,,,,,
of,de,,,,,,,,,,,,,,,,,,,,
Order,Orden,,,,,,,,,,,,,,,,,,,,
Other,Otro,,,,,,,,,,,,,,,,,,,,
Pages,Páginas,,,,,,,,,,,,,,,,,,,,
Password,Contraseña,,,,,,,,,,,,,,,,,,,,
Password Error,Error de contraseña,,,,,,,,,,,,,,,,,,,,
Password updated,Contraseña actualizada,,,,,,,,,,,,,,,,,,,,
Private documents,Documentos privados,,,,,,,,,,,,,,,,,,,,
Private instance,Instancia privada,,,,,,,,,,,,,,,,,,,,
Public documents,Documentos públicos,,,,,,,,,,,,,,,,,,,,
Publish,Publicar,,,,,,,,,,,,,,,,,,,,
Recently,Recientemente,,,,,,,,,,,,,,,,,,,,
References,Referencias,,,,,,,,,,,,,,,,,,,,
Relationship,Relación,,,,,,,,,,,,,,,,,,,,
Relationship types,Tipos de relación,,,,,,,,,,,,,,,,,,,,
Relationships,Relaciones,,,,,,,,,,,,,,,,,,,,
RelationType saved,Tipo de Relación guardada,,,,,,,,,,,,,,,,,,,,
Relevance,Relevancia,,,,,,,,,,,,,,,,,,,,
Reset,Reiniciar,,,,,,,,,,,,,,,,,,,,
Role,Rol,,,,,,,,,,,,,,,,,,,,
Save,Guardar,,,,,,,,,,,,,,,,,,,,
Search,Buscar,,,,,,,,,,,,,,,,,,,,
Search connections,Buscar relaciones,,,,,,,,,,,,,,,,,,,,
Search item,Buscar elemento,,,,,,,,,,,,,,,,,,,,
Search related entities or documents,Buscar entidades o documentos relacionados,,,,,,,,,,,,,,,,,,,,
Search relevance,Relevancia de la búsqueda,,,,,,,,,,,,,,,,,,,,
Search text,Buscar texto,,,,,,,,,,,,,,,,,,,,
Search text description,Buscar descripción de texto,,,,,,,,,,,,,,,,,,,,
Search Tips: boolean,Sugerencia de Búsqueda: booleano (dato lógico),,,,,,,,,,,,,,,,,,,,
