Key;French
Account;Compte
Account settings;Paramètres du compte
Activity log;Journal d'activité
Add;Ajouter
Add connection;Ajouter une connexion
Add dictionary;Ajouter un dictionnaire
Add document type;Ajouter un type de document
Add file;Ajouter le fichier
Add language;Ajouter une langue
Add link;Ajouter un lien
Add page;Ajouter une page
Add template;Ajouter un modèle
Add thesaurus;Ajouter un thésaurus
Add to all languages;Ajouter à toutes les langues
Add user;Ajouter un utilisateur
Add/delete users and assign roles;Ajouter / Supprimer des utilisateurs et attribuer des rôles
Add/edit translations;Ajouter / Modifier des traductions
Admin;Administrateur
Advanced settings;Réglages avancés
Allowed Public Templates;Modèles publics autorisés
Any value;N'importe quelle valeur
Apply properties to documents/entities;Appliquer des propriétés aux documents / entités
Attachments;Pièces Jointes
Back;Retour
Cancel;Annuler
Change password;Changer le mot de passe
check as private instance;Définir comme instance privée
Close session;Fermer la session
Collection;Collection
Collection settings;Paramètres de la collection
Configure filters;Configurer les filtres
Confirm;Confirmer
Confirm delete document type message;Veuillez confirmer la suppression du modèle
Confirm delete document type title;Confirmer suppression du modèle
Confirm delete multiple items;Confirmer supprimer plusieurs éléments
Confirm new password;Confirmer le nouveau mot de passe
Connection type;Type de connexion
Connections;Connexions
connections;Connexions
Create a table of contents;Créer une table des matières
Create connections and references;Créer des connexions et des références
Create dictionaries;Créer des dictionnaires
Create document and entity types;Créer des types de document et d'entité
Create group;Créer un groupe
Custom CSS;CSS personnalisé
Custom page;Page personnalisée
Customisation;Personnalisation
Date added;Date ajoutée
Date format;Format de date
Delete;Effacer
Delete documents and entities;Supprimer des documents et des entités
Delete language;Supprimer la langue
Dictionaries;Dictionnaires
Discard changes;Annuler les modifications
Document and entity types;Types de documents et d'entités
Document types;Types de documents
Documents;Documents
documents;documents
Downloads;Téléchargements
Duplicated name;Nom dupliqué
Edit;Éditer
Editor;Éditeur
Email;E-mail
Email address;Adresse e-mail
Email updated;E-mail mis à jour
Entities;Entités
Filename label;Étiquette servant de nom du fichier
Filters;Filtres
Filters AND operator;ET
Filters configuration;Configuration des filtres
Filters OR operator;OU
Flag;Drapeau
Forgot Password?;Mot de passe oublié?
Google Analytics ID;Indentifiant Google Analytics
hubs;hubs
Icon;Icône
in;dans
Info;Info
Invalid form;Formulaire invalide
"Label date ""From""";Du
"Label date ""to""";Au
