Key,Korean
A generated ID will be the default title.,생성된 아이디가 기본값으로 설정됩니다.
Accept,수락
Account,계정
Account settings,계정 설정
Action,활동
Activate this feature for enhanced account security,계정 보안 강화가 필요한 경우 이 기능을 활성화하십시오.
Active Languages,활성화 언어
Activity log,활동 로그
Add,추가
Add / remove favorite,즐겨찾기 추가/제거
Add connection,커넥션 추가
Add date,날짜 추가
Add dictionary,사전 추가
Add document type,문서 유형 추가
Add entities / documents,엔티티/문서 추가
Add file,파일 추가
Add from url,URL 에서 추가
Add from web,웹에서 추가
Add group,그룹 추가
add icon,아이콘 추가
Add language,언어 추가
Add link,링크 추가
Add page,페이지 추가
Add people or groups,사용자 혹은 그룹 추가
Add resource,자료 추가
Add supporting file,보충 파일 추가
Add template,템플릿 추가
Add thesaurus,시소러스 추가
Add to all languages,모든 언어에 추가
Add to table of contents,목차에 추가
Add user,사용자 추가
Add user,사용자 추가
Add users,사용자 추가
Add/delete users and assign roles,사용자 추가/삭제 및 권한 부여
Add/edit translations,번역 추가/편집
Adjacent geolocation properties will render on the same map,인접한 위치는 동일한 지도에 표시됩니다.
Admin,관리자
admin,관리자
Administrators and Editors,관리자 및 편집자
Advanced settings,고급 설정
affects,영향
ALL,전체 필터
"All changes will be lost, are you sure you want to proceed?",모든 변경 사항이 손실됩니다. 계속 진행하시겠습니까?
All entities and documents that have already this property assigned will loose its current value,이 속성을 포함한 모든 엔티티와 문서에서 현재값이 삭제됩니다.
Allowed Public Templates,허용된 공개 템플릿
"Always use URLs relative to your site, starting with / and skipping the domain name. Example:",URL 추가시 항상 상대 경로 (/ 이전 도메인 생략) 를 사용하십시오. 예시:
An error has occured during data export,데이터 추출 중 오류가 발생했습니다.
Analytics description,분석 설명
Any value,모든 값
Anyone will be able to see them,모두에게 게시됩니다.
Apply properties to documents/entities,문서/엔티티에 속성 적용
Attachments,첨부 파일
Authentication code,인증 코드
auto-created,자동 생성 완료
Auto-save,자동 저장
Automatic Table of Contents,자동 생성 목차
Automatically generated,자동 생성됨
Available Languages,사용 가능 언어
Back,뒤로
Back to,이전으로
Back to search,검색으로
Back to thesauri,시소러스로 돌아가기
Back to thesaurus,시소러스로 돌아가기
Body,바디
Browse files to upload,업로드할 파일 탐색
Browse your PDFs to upload,업로드할 PDF 탐색
"By default, users can filter the entities in the library based on the types you have defined. However, you can configure how these entity types will be displayed:",사용자가 지정한 대로 엔티티 타입을 게시할 수 있습니다.
Can edit,편집 가능
Can see,열람 가능
Can view,열람 가능
Cancel,취소
Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.,동일한 유형으로 연결된 엔티티가 있는 경우 '모든 엔티티 또는 문서'를 사용할 수 없습니다.
Captcha,보안 문자
Cards,카드
Cards View,카드 뷰
Cards view,카드 뷰
Caution: the selected entities will be,주의: 선택한 엔티티가
Change password,비밀번호 변경
Change will take effect after saving the template,템플릿 저장 후 변경 사항이 적용됩니다.
Changing the type will erase all connections to this entity.,유형 변경 후 이 엔티티의 커넥션이 삭제됩니다.
Character support description,캐릭터 지원 설명
Character support process warning,캐릭터 지원 프로세스 경고
Character support revert warning,캐릭터 지원 되돌리기 경고
check as private instance,비공개 인스턴스로 전환
Check to make this instance private (only logged-in users can access the data),비공개 인스턴스로 전환하기 (로그인 사용자만 이용 가능)
Clear coordinates,좌표 초기화
Clear Filters,필터 초기화
Click here,여기를 클릭하십시오
Click to fill,텍스트 자동 채우기
Close,닫기
Close session,세션 종료
Collaborator,협업자
collaborator,협업자
Collection,컬렉션
Collection name,컬렉션 이름
Collection settings,컬렉션 설정
Configure filters,필터 구성
Configure suggestions,제안 구성
Configure the default landing page for your site.,사이트의 랜딩 페이지를 직접 구성할 수 있습니다.
Confirm,확인
Confirm delete document type message,삭제 확인 - 문서 유형 (메세지)
Confirm delete document type title,삭제 확인 - 문서 유형 (제목)
Confirm delete multiple items,삭제 확인 - 여러 항목
Confirm deletion,삭제 확인
Confirm new password,새 비밀번호 확인
Confirm publish multiple items,여러 항목 게시 확인
Congratulations!,축하합니다!
Connect to a document,문서와 연결
Connect to a paragraph,단락과 연결
Connection type,커넥션 유형
Connections,커넥션
connections,커넥션
Contact Form,연락처
Conversion failed,변환 실패
Copy From,외부 복사
Copy Highlighted,하이라이트 복사
Copy link,링크 복사
Copy properties to this entity from,이 엔티티의 속성 복사
Create,생성
Create a table of contents,목차 생성
Create connections and references,커넥션 및 참고문헌 생성
Create dictionaries,사전 만들기
Create document and entity types,문서 및 엔티티 유형 생성
Create Entity,엔티티 생성
Create entity,엔티티 만들기
Create group,그룹 생성
Create user,사용자 추가
created,생성 완료
Currently connections only need a title.,커넥션에 제목이 필요합니다.
Custom component error,사용자 맞춤 구성 오류
Custom CSS,사용자 맞춤 CSS
Custom favicon,사용자 파비콘
Custom page,사용자 맞춤 페이지
Custom starting location,사용자 지정 시작 위치
Custom styles,사용자 맞춤 디자인
Custom Uploads,사용자 맞춤 업로드
Customisation,사용자 맞춤
Data imported,데이터 업로드 완료
Date,날짜
Date added,추가한 날짜
Date format,날짜 형식
Date modified,수정한 날짜
Date range,날짜 범위
Day,일자
Default language,기본 언어
Default language change success,기본 언어 변경 완료
Default language description,기본 언어 설명
Default template,기본 템플릿
Delete,삭제
Delete documents and entities,문서 및 엔티티 삭제
Delete Group,그룹 삭제
Delete language,언어 삭제
Delete Property,속성 삭제
Delete User,사용자 삭제
Description,설명
Dictionaries,사전
Discard,삭제
Discard changes,변경 취소
Discard Changes,변경 사항 저장 취소
Display entity view from page,페이지에서 엔티티 뷰 표시
Document,문서
Document and entity types,문서 및 엔티티 유형
Document contents,문서 내용
Document OCR Trigger,문서 OCR 읽기
Document Title,문서 제목
Document types,문서 유형
Documentation,기록
Documents,문서
documents,문서
documents before training (30 per topic).,트레이닝 전 문서 (주제 당 30 개)
Documents for custom filter,사용자 맞춤 필터 문서
Documents including suggestion:,제안 포함 문서:
documents so far.,현재까지 문서
Documents to be reviewed,검토할 문서
documents.,문서
Download,다운로드
Downloads,다운로드
Drag and drop file in this window to upload,이 창에 파일을 드래그 앤 드롭해 업로드합니다.
Drag items here,여기에 아이템을 드래그합니다.
Drag properties here,여기에 속성을 드래그합니다.
Drop your files here to upload or,여기에 파일을 드롭해 업로드합니다.
Duplicated email,이메일 중복
Duplicated label,라벨 중복
Duplicated name,중복된 이름
Duplicated username,사용자 이름 중복
Edit,편집
Edit all documents matching this criteria,이 기준과 일치하는 모든 문서 편집
Editor,편집자
Email,이메일
Email address,이메일 주소
Email is required,이메일이 필요합니다.
Email updated,이메일 업데이트 완료
Enable this page to be used as an entity view page:,엔티티 뷰 페이지가 필요할 경우 활성화하십시오.
Enter the 6-digit verification code generated by your Authenticator app:,보안 인증 앱에서 생성된 6자리 인증 코드를 입력하십시오.
Entities,엔티티
"Entities can be displayed in a custom page. For that, a custom page needs to be created in Pages, and then selected here.",사용자 맞춤 페이지에서 엔티티를 게시하려면 '페이지' 항목에서 사용자 맞춤 페이지를 생성 후 여기에서 선택하십시오.
Entity,엔티티
Entity types,엔티티 유형
Error,오류
Examples,예시
Exploration,탐색
Export CSV,CSV 추출
Exporting entities to CSV,엔티티를 CSV 로 추출
Extract information from your documents,문서에서 정보 추출
Favicon is an icon that appears in the browser tab and bookmarks.,파비콘은 브라우저 탭 및 책갈피에 보여지는 아이콘입니다.
FEATURED,선택 필터
File,파일
Filename label,파일명 라벨
Fill,채우기
Filters,필터
Filters AND operator,필터 AND 오퍼레이터
Filters configuration,필터 구성
Filters configuration description,필터 구성 설명
Filters configuration example,필터 구성 예시
Filters OR operator,필터 OR 오퍼레이터
Find,찾기
Fine tune,미세 조정
Fit,맞추기
Flag,깃발
"For better performance, upload your documents in batches of 50 or less.",업로드 속도 향상을 위해 한 번에 50 개 이하의 문서를 업로드하십시오.
"For better performance, upload your files in batches of 50 or less.",업로드 속도 향상을 위해 한 번에 50 개 이하의 파일을 업로드하십시오.
Forgot Password?,비밀번호를 잊으셨나요?
Forms and email configuration,양식 및 이메일 구성
Full edit mode,전체 편집 모드
General,일반
Generated ID,ID 생성
Geolocation,지리정보
Global CSS,Global CSS
Google Analytics,구글 분석
Google Analytics ID,구글 분석 ID
Groups,그룹
help,도움말
Here you can configure the public form destination and the whitelisted templates,설문조사 저장 페이지와 설문조사를 포함시킬 템플릿을 지정할 수 있습니다.
Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,여기에 연락처 이메일을 설정할 수 있습니다. 이 연락처는 Uwazi 가 사용자에게 알림을 보낼 때에도 사용됩니다.
Hide Label,라벨 숨기기
Hold shift to rotate the map,지도를 회전시키려면 Shift 키를 누르십시오.
https://yourdomain,전체경로: https://yourdomain
https://yoursite.com/,https://yoursite.com/
hubs,허브
Icon,아이콘
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",외부 URL 인 경우 전체 경로 (http://www. 부터 시작하는 전체 URL) 를 넣으십시오.
"If it is an internal URL within this website, be sure to delete the first part",Uwazi 내부 URL 인 경우 부분 경로 (http://www.uwazi.io 이후 / 부터 시작하는 부분 URL) 를 넣으십시오.
"If you have added a contact form on one of your pages, this is the email address that receives the information from that form.",연락처를 포함한 설문 양식을 추가한 페이지가 있는 경우 해당 양식의 정보를 받는 이메일 주소입니다.
"If you want to continue, please type",계속하려면 다음을 입력하십시오:
"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo.",사이트 방문 기록을 분석하고 싶은 경우 Google Analytics 와 Matomo 를 사용할 수 있습니다.
"If you wish to include a public form on your page, you must white-list the template by selecting it from the list.",설문조사를 페이지에 포함시키려면 리스트에서 템플릿을 지정하십시오.
Image,이미지
Import,업로드
