Key,Burmese
Account,အကောင့်
Account settings,အကောင့် ဆက်တင်များ
Activity log,လုပ်ဆောင်မှု မှတ်တမ်း
Add,ထည့်ရန်
Add connection,ချိတ်ဆက်မှု ထည့်ရန်
Add dictionary,အဘိဓာန် ထည့်ရန်
Add document type,စာရွက်စာတမ်း အမျိုးအစား ထည့်ရန်
Add file,ဖိုင် ထည့်ရန်
Add language,ဘာသာစကား ထည့်ရန်
Add link,လင့်ခ် ထည့်ရန်
Add page,စာမျက်နှာ ထည့်ရန်
Add template,ပုံစံပြား ထည့်ရန်
Add thesaurus,ဝေါဟာရပဒေသာကျမ်း ထည့်ရန်
Add to all languages,ဘာသာစကားအားလုံး သို့ ထည့်ရန်
Add user,အသုံးပြုသူထည့်ရန်
Add/delete users and assign roles,အသုံးပြုသူများကို ထည့်/ဖျက်ပြီး တာဝန်များ သတ်မှတ်ရန်
Add/edit translations,ဘာသာပြန်ဆိုမှုများကို ထည့်ရန်/တည်းဖြတ်ရန်
Admin,အက်မင်
Advanced settings,အဆင့်မြင့် ဆက်တင်များ
Allowed Public Templates,အများမြင်နိုင်သော ပုံစံပြားများကို ခွင့်ပြုထားသည်
Any value,
Apply properties to documents/entities,စာရွက်စာတမ်းများ/ဖြည့်သွင်းချက်များတွင် ဂုဏ်သတ္တိများ သုံးရန် 
Attachments,တွဲချိတ်မှုများ
Back,နောက်သို့
Cancel,ပယ်ဖျက်ရန်
Change password,စကားဝှက် ပြောင်းရန်
check as private instance,လျှို့ဝှက် အကြောင်းကိစ္စအဖြစ် စစ်ဆေးရန်
Close session,အသုံးပြုခြင်းကို ရပ်နားပါ
Collection,စုစည်းမှု
Collection settings,စုစည်းမှု ဆက်တင်များ
Configure filters,စစ်ထုတ်မှုများကို ချိန်ညှိပါ
Confirm,အတည်ပြုရန်
Confirm delete document type message,စာရွက်စာတမ်း အမျိုးအစား ဖျက်ရန် မက်ဆေ့ချ်ကို အတည်ပြုပါ
Confirm delete document type title,စာရွက်စာတမ်း အမျိုးအစား ဖျက်ရန် ခေါင်းစဉ်ကို အတည်ပြုပါ
Confirm delete multiple items,အိုင်တမ်များကို ဖျက်ရန် အတည်ပြုပါ
Confirm new password,စကားဝှက်အသစ်ကို အတည်ပြုပါ
Connection type,ချိတ်ဆက်မှု အမျိုးအစား
Connections,ချိတ်ဆက်မှုများ
connections,ချိတ်ဆက်မှုများ
Create a table of contents,မာတိကာ ဖန်တီးရန်
Create connections and references,ချိတ်ဆက်မှုများနှင့် ရည်ညွှန်းစာအုပ်များကို ဖန်တီးရန်
Create dictionaries,အဘိဓာန်များကို ဖန်တီးရန်
Create document and entity types,စာရွက်စာတမ်းနှင့် ဖြည့်သွင်းချက် အမျိုးအစားများကို ဖန်တီးရန်
Create group,အုပ်စု ဖန်တီးရန်
Custom CSS,စိတ်ကြိုက် CSS
Custom page,စိတ်ကြိုက် စာမျက်နှာ
Customisation,စိတ်ကြိုက်ဖန်တီးခြင်း
Date added,ဒေတာ ထည့်ပြီး
Date format,ရက်စွဲ ဖော်မက်
Delete,ဖျက်ရန်
Delete documents and entities,စာရွက်စာတမ်းများနှင့် ဖြည့်သွင်းချက်များကို ဖျက်ရန်
Delete language,ဘာသာစကား ဖျက်ရန်
Dictionaries,အဘိဓာန်များ
Discard changes,အပြောင်းအလဲများကို ပယ်ရန်
