Key,Thai
Account,บัญชี
Account settings,การตั้งค่าบัญชี
Activity log,บันทึกกิจกรรม
Add,เพิ่ม
Add connection,เพิ่มการเชื่อมต่อ
Add dictionary,เพิ่มพจนานุกรม
Add document type,เพิ่มประเภทเอกสาร
Add file,เพิ่มไฟล์
Add language,เพิ่มภาษา
Add link,เพิ่มลิงค์
Add page,เพิ่มหน้า
Add template,เพิ่มเทมเพลต
Add thesaurus,เพิ่มกลุ่มคำอธิบาย
Add to all languages,เพิ่มเข้าไปในทุกภาษา
Add user,เพิ่มผู้ใช้
Add/delete users and assign roles,เพิ่ม / ลบผู้ใช้และกำหนดบทบาทผู้ใช้
Add/edit translations,เพิ่ม / แก้ไขการแปล
Admin,ผู้ดูแลระบบ
Advanced settings,ตั้งค่าขั้นสูง
Allowed Public Templates,อนุญาตให้ใช้เป็นแม่แบบสาธารณะ
Any value,ค่าใดก็ได้
Apply properties to documents/entities,ใช้คุณสมบัตินี้กับเอกสาร หรือ รายการที่ระบุ
Attachments,สิ่งที่แนบมา
Back,ย้อนกลับ
Cancel,ยกเลิก
Change password,เปลี่ยนรหัสผ่าน
check as private instance,ตรวจสอบค่าความเป็นส่วนตัว
Close session,ปิดเซสชั่น
Collection,คอลเล็คชั่น
Collection settings,การตั้งค่าคอลเล็คชั่น
Configure filters,กำหนดค่าตัวกรอง
Confirm,ยืนยัน
Confirm delete document type message,ยืนยันการลบข้อความประเภทเอกสาร
Confirm delete document type title,ยืนยันการลบชื่อประเภทเอกสาร
Confirm delete multiple items,ยืนยันลบหลายรายการ
Confirm new password,ยืนยันรหัสผ่านใหม่
Connection type,ประเภทการเชื่อมต่อ
Connections,การเชื่อมต่อ
connections,การเชื่อมต่อ
Create a table of contents,สร้างสารบัญ
Create connections and references,สร้างการเชื่อมต่อและการอ้างอิง
Create dictionaries,สร้างพจนานุกรม
Create document and entity types,สร้างประเภทเอกสารและรายการ
Create group,สร้างกลุ่ม
Custom CSS,CSS ที่กำหนดเอง
Custom page,หน้ากำหนดเอง
Customisation,การปรับแต่ง
Date added,เพิ่ม ณ วันที่
Date format,รูปแบบวันที่
Delete,ลบ
Delete documents and entities,ลบเอกสารและรายการ
Delete language,ลบภาษา
Dictionaries,พจนานุกรม
Discard changes,ยกเลิกการเปลี่ยนแปลง
Document and entity types,ประเภทเอกสารและรายการ
Document types,ประเภทเอกสาร
Documents,เอกสาร
documents,เอกสาร
Downloads,ดาวน์โหลด
Duplicated name,ชื่อที่ซ้ำกัน
Edit,แก้ไข
Editor,บรรณาธิการ
Email,อีเมล
Email address,ที่อยู่อีเมล
Email updated,อัปเดตอีเมล
Entities,รายการ
Filename label,ลาเบลชื่อไฟล์
Filters,ตัวกรอง
Filters AND operator,ตัวกรอง ประเภท และ
Filters configuration,การกำหนดค่าตัวกรอง
Filters OR operator,ตัวกรอง ประเภท หรือ
Flag,แฟล็ก
Forgot Password?,ลืมรหัสผ่าน?
Google Analytics ID,ไอดี Google Analytics
hubs,ฮับ
Icon,ไอคอน
in,ใน
Info,ข้อมูล
Invalid form,แบบฟอร์มไม่ถูกต้อง
"Label date ""From""","ลาเบลวันที่ ""ตั้งแต่"""
"Label date ""to""","ลาเบลวันที่ ""ถึง"""
Landing page,หน้าแลนดิ้งเพจ
Language,ภาษา
Least recently,ปริมาณน้อยที่สุดในอดีต
Library,ไลบรารี่
List view,มุมมองรายการ
Login,เข้าสู่ระบบ
Login button,กดเพื่อเข้าสู่ระบบ
Login failed,การเข้าสู่ระบบล้มเหลว
Logout,ออกจากระบบ
Mailer configuration,การกำหนดค่าการส่งเมล
Manage site settings and configuration,จัดการการตั้งค่าไซต์และการกำหนดค่า
Map view,มุมมองแผนที่
MapTiler key,Maptiler Key
Maximum,มากที่สุด
Menu,เมนู
Metadata,เมทาดาทา
Minimum,ขั้นต่ำ
My Files,ไฟล์ของฉัน
Name,ชื่อ
Name connections,ชื่อการเชื่อมต่อ
New entity,รายการใหม่
New password,รหัสผ่านใหม่
No,เลขที่
No common filters,ไม่มีฟิลเตอร์สามัญ
No Connections,ไม่มีการเชื่อมต่อ
No Connections description,ไม่มีคำอธิบายการเชื่อมต่อ
No Label,ไม่มีลาเบล
No options found,ไม่พบตัวเลือก
No property,ไม่เจอพร๊อพเพอร์ตี้
No References,ไม่มีการอ้างอิง
No References description,ไม่มีคำอธิบายการอ้างอิง
No Relationships,ไม่มีความสัมพันธ์
No Relationships description,ไม่มีคำอธิบายความสัมพันธ์
No Table of Contents,ไม่มีสารบัญ
No Table of Contents description,ไม่มีคำอธิบายสารบัญ
No text match,ไม่มีการจับคู่ข้อความ
No text match description,ไม่มีคำอธิบายการจับคู่ข้อความ
No type,ไม่มีประเภท
No value,ไม่มีค่า
of,ของ
Order,คำสั่ง
Other,อื่น
Pages,หน้า
Password,รหัสผ่าน
Password Error,รหัสผ่านผิดพลาด
Password updated,รหัสผ่านอัปเดตแล้ว
Private documents,เอกสารส่วนตัว
Private instance,อินสแตนซ์ส่วนตัว
Public documents,เอกสารสาธารณะ
Publish,เผยแพร่
Recently,ล่าสุด
References,การอ้างอิง
Relationship,ความสัมพันธ์
Relationship types,ประเภทความสัมพันธ์
Relationships,ความสัมพันธ์
RelationType saved,บันทึกประเภทความสัมพันธ์
Relevance,ความเกี่ยวข้อง
Reset,รีเซ็ต
Role,บทบาท
Save,บันทึก
Search,ค้นหา
Search connections,ค้นหาการเชื่อมต่อ
Search item,ค้นหารายการ
Search related entities or documents,ค้นหารายการหรือเอกสารที่เกี่ยวข้อง
Search relevance,ความเกี่ยวข้องของการค้นหา
Search text,ข้อความค้นหา
Search text description,คำอธิบายข้อความค้นหา
Search Tips: boolean,เคล็ดลับการค้นหา: บูลีน
Search Tips: exact term,เคล็ดลับการค้นหา: คำที่ตรงตัว
Search Tips: one char wildcard,เคล็ดลับการค้นหา: ตัวอักษรพิเศษ
Search Tips: proximity,เคล็ดลับการค้นหา: คำใกล้เคียง
Search Tips: wildcard,เคล็ดลับการค้นหา: ไวลการ์ด
Select list,เลือกรายการ
selected,เลือกแล้ว
Send recovery email,ส่งอีเมลการกู้คืน
Separator,ตัวแยก
Settings,การตั้งค่า
Settings updated,การตั้งค่าถูกอัปเดตแล้ว
Show more,แสดงมากขึ้น
Sign in,เข้าสู่ระบบ
Size,ขนาด
Sort by,เรียงลำดับ
sorted by,เรียงลำดับโดย
Table of Contents,สารบัญ
Templates,แม่แบบ
Text,ข้อความ
Thesauri,thesauri
Thesaurus saved,กลุ่มคำอธิบายที่บันทึกแล้ว
This action will unselect all the entities.,การกระทำนี้จะยกเลิกการเลือกรายการทั้งหมด
Title,ชื่อหัวข้อ
Tools,เครื่องมือ
Translate,แปลภาษา
Translations,การแปล
Translations saved,บันทึกการแปล
Type,ประเภท
Update,แก้ไขเมื่อ
Upload documents and create entities,อัปโหลดเอกสารและสร้างรายการ
Uploading,การอัพโหลด
Uploads,อัปโหลด
User,ผู้ใช้
Username,ชื่อผู้ใช้
Users,ผู้ใช้
View,ดู
View in library,ดูในไลบรารี
x less,ลดขนาดลง
x more,เพิ่มขนาดขึ้น
% of sentences above threshold,เปอร์เซ็นต์ของประโยคที่เกินเกณฑ์มาตรฐาน
(please keep this key secret and don't share it):,โปรดเก็บรหัสลับนี้และอย่าเปิดเผยให้ผู้อื่นรู้
(view page),(ดูหน้า)
(+) click to select multiple cards,(+) คลิกเพื่อเลือกการ์ดหลายใบ
- Entity:,รายการ
- Library search:,ค้นหาไลบรารี
- Site page:,- หน้าเว็บไซต์:
1. Right-click an image or video on the web and copy the image's URL. Altenatively websites offers share button whereyou can get URL.,คลิกขวาที่รูปภาพหรือวีดีโอบนเว็บและคัดลอก URL ของรูปภาพและเว็บไซต์ นักจากนี้เว็บไซต์ยังมีปุ่มแชร์ เมื่อคุณกดปุ่มนี้คุณจะได้ URL
2. Return here and paste the URL in this field (Ctrl+V or Command+V),เมื่อได้ URL แล้วให้เอา URL มาใส่ในช่องนี้ (กด CTRL + V หรือ Command + V)
A generated ID will be the default title.,ID ที่สร้างขึ้นจะเป็นชื่อเริ่มต้น
Accept,ตกลง
Action,เริ่มทำ
Activate this feature for enhanced account security,เปิดใช้งานคุณสมบัตินี้เพื่อความปลอดภัยของบัญชีขั้นสูง
Active Languages,ภาษาที่ใช้งาน
Add / remove favorite,เพิ่ม / ลบรายการโปรด
Add date,เพิ่มวันที่
Add entities / documents,เพิ่มรายการ / เอกสาร
Add from url,เพิ่มจาก URL
Add from web,เพิ่มจากเว็บ
Add group,เพิ่มกลุ่ม
Add people or groups,เพิ่มผู้คนหรือกลุ่ม
Add resource,เพิ่มทรัพยากร
Add supporting file,เพิ่มไฟล์สนับสนุน
Add to table of contents,เพิ่มลงในสารบัญ
Add users,เพิ่มผู้ใช้
Adjacent geolocation properties will render on the same map,คุณสมบัติของตำแหน่งทางภูมิศาสตร์ที่อยู่ติดกันจะแสดงบนแผนที่เดียวกัน
Administrators and Editors,ผู้ดูแลระบบและผู้แก้ไขข้อมูล
"All changes will be lost, are you sure you want to proceed?",การเปลี่ยนแปลงทั้งหมดจะหายไปคุณแน่ใจหรือว่าต้องการดำเนินการต่อ?
All entities and documents that have already this property assigned will loose its current value,รายการและเอกสารทั้งหมดที่ถูกกำหนดคุณสมบัติจะสูญเสียค่าปัจจุบัน
"Always use URLs relative to your site, starting with / and skipping the domain name. Example:",ใช้ URL ที่มาจากเว็บไซต์ของคุณเสมอโดยเริ่มต้นด้วย / และไม่ต้องใส่ชื่อโดเมน ตัวอย่าง:
An error has occured during data export,เกิดข้อผิดพลาดระหว่างการส่งออกข้อมูล
Analytics description,คำอธิบายการวิเคราะห์
Anyone will be able to see them,เปิดการมองเห็นสาธารณะ
Authentication code,รหัสผ่าน
Auto-save,บันทึกอัตโนมัติ
Automatic Table of Contents,สารบัญอัตโนมัติ
Automatically generated,สร้างขึ้นโดยอัตโนมัติ
Available Languages,ภาษาที่ใช้ได้
Back to,กลับไปยัง
Back to search,กลับไปที่การค้นหา
Back to thesauri,กลับไปที่กลุ่มคำอธิบาย
Back to thesaurus,กลับไปที่กลุ่มคำอธิบาย
Body,เนื้อหา
Browse files to upload,เรียกดูไฟล์ที่จะอัปโหลด
Browse your PDFs to upload,เรียกดู PDF ของคุณเพื่ออัปโหลด
Can edit,แก้ไขได้
Can see,มองเห็นได้
Can view,มองเห็นได้
Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.,ไม่สามารถใช้ 'รายการหรือเอกสารใดๆ' ในกรณีที่ประเภทความสัมพันธ์เดียวกันได้ถูกกำหนดไปยังรายการแล้ว
Captcha,captcha
Cards,บัตร
Cards View,มุมมองการ์ด
Caution: the selected entities will be,คำเตือน: รายการที่ถูกเลือกคือ
Change will take effect after saving the template,การเปลี่ยนแปลงจะมีผลหลังจากบันทึกเทมเพลต
Changing the type will erase all connections to this entity.,การเปลี่ยนประเภทจะลบความสัมพันธ์ทั้งหมดของรายการนี้
Character support description,คำอธิบาย ตัวอักษรที่สามารถใช้ได้
Character support process warning,คำเตือน การเปลี่ยนตัวอักษรที่สามารถใช้ได้
Character support revert warning,คำเตือน การยกเลิกตัวอักษรที่สามารถใช้ได้
Check to make this instance private (only logged-in users can access the data),กดเลือกเพื่อทำให้รายการนี้ถูกตั้งค่าความเป็นส่วนตัว (เฉพาะผู้ใช้ที่เข้าสู่ระบบแล้วถึงจะสามารถเข้าถึงข้อมูลได้)
Clear Filters,ล้างตัวกรอง
Clear coordinates,ลบจุดพิกัด
Click here,คลิกที่นี่
Click to fill,คลิกเพื่อใส่ค่า
Close,ปิด
Collaborator,ผู้ประสานงาน
Configure suggestions,คำแนะนำการตั้งค่า
Configure the default landing page for your site.,เปลี่ยนหน้าแลนดิ้งเพจสำหรับเว็บไซต์ของคุณ
Confirm deletion,ยืนยันการลบ
Confirm publish multiple items,ยืนยันเผยแพร่หลายรายการ
Congratulations!,ยินดีด้วย!
Connect to a document,เชื่อมต่อเอกสาร
Connect to a paragraph,เชื่อมต่อย่อหน้า
Conversion failed,การแปลงล้มเหลว
Copy From,คัดลอกจาก
Copy Highlighted,คัดลอกสิ่งที่ถูกเน้นสี
Copy link,คัดลอกลิงค์
Copy properties to this entity from,คัดลอกคุณสมบัติไปยังรายการนี้ จาก
Create,สร้าง
Create Entity,สร้างรายการ
Currently connections only need a title.,การเชื่อมต่อจำเป็นต้องกำหนดหัวข้อเรื่อง
Custom Uploads,อัปโหลดแบบกำหนดค่าเอง
Custom component error,เกิดข้อผิดพลาดในส่วนประกอบที่สร้างเอง
Custom styles,สไตล์ที่สร้างเอง
Data imported,ข้อมูลที่ถูกอิมพอร์ท
Date modified,แก้ไข ณ วันที่
Day,วัน
Default language,ภาษาเริ่มต้น
Default language change success,เปลี่ยนภาษาเริ่มต้น สำเร็จ
Default language description,คำอธิบายเกี่ยวกับภาษาเริ่มต้น
Default template,เทมเพลตเริ่มต้น
Delete Group,ลบกลุ่ม
Delete Property,ลบคุณสมบัติ
Delete User,ลบผู้ใช้
Description,คำอธิบาย
Discard,ทิ้ง
Display entity view from page,แสดงมุมมองรายการจากหน้า
Document,เอกสาร
Document Title,ชื่อเอกสาร
Document contents,เนื้อหาของเอกสาร
