Key,Turkish 
(view page),(sayfaya bak)
% of sentences above threshold,eşiğin üzerindeki cümlelerin yüzdesi
+ click to select multiple cards.,+ click to select multiple cards.
2fa add account tip,"Open the app and select ""Add Account"" (usually a plus symbol)"
2fa QA scan tip,"Scan the following QR code selecting the ""scan barcode"" option:"
A generated ID will be the default title.,"Oluşturulan kimlik, varsayılan başlık olacaktır."
Accept,Kabul Et
Accepted suggestion on entity,Accepted suggestion on entity
Account,Hesap
Account locked. Check your email to unlock.,Account locked. Check your email to unlock.
Account unlocked successfully,Account unlocked successfully
Accuracy,Accuracy
Action,Eylem
Activate this feature for enhanced account security,Gelişmiş hesap güvenliği için bu özelliği etkinleştirin
Active Languages,Aktif Diller
Activity log,Sistem Günlüğü
Add,Ekle
Add / remove favorite,Favoriye ekle / Favoriden çıkarı
Add date,Tarih ekle
Add entities / documents,Varlık/Döküman ekle
Add file,Dosya ekle
Add from URL,URL'den ekle
Add from web,WEB'ten ekle
Add group,Grup ekle
add icon,simge ekle
Add language,Dil ekle
Add link,Link ekle
Add page,Sayfa ekle
Add PDF,Add PDF
Add people or groups,Kişi veya grup ekle
Add properties,Add properties
Add relationship,Add relationship
Add relationship type,Add relationship type
Add template,Şablon ekle
Add thesaurus,Thesaurus ekle
Add thesaurus modal description,After creation you can go into Settings -> Thesauri to add items
Add thesaurus value,Add thesaurus value
Add to all languages,Tüm dillere ekle
Add to table of contents,İçindekiler tablosuna ekle
Add user,Kullanıcı ekle
Add users,Kullanıcılar ekle
add value,add value
Add/delete users and assign roles,Kullanıcı ekleme/silme ve roller atama
Add/edit translations,Çeviri ekle/düzenle
Added language,Added language
Added new user,Added new user
added to hub with the following errors:,added to hub with the following errors:
added to hub.,added to hub.
Adjacent geolocation properties will render on the same map,Bitişik coğrafi konum özellikleri aynı haritada işlenecek
Admin,Yönetici
Administrators and Editors,Yöneticiler ve Editörler
affects,etkiler
ALL,ALL
All,All
"All changes will be lost, are you sure you want to proceed?","Tüm değişiklikler kaybolacak, devam etmek istediğinizden emin misiniz?"
An error has occurred during data export,An error has occurred during data export
An error occurred,An error occurred
Analytics description,"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo."
Anyone will be able to see them,Herkesin erişimine açık
Apply to all languages,Apply to all languages
Are you sure you want to continue?,Are you sure you want to continue?
Are you sure you want to delete,Are you sure you want to delete
Are you sure you want to delete this attachment?,Are you sure you want to delete this attachment?
Are you sure you want to delete this connection?,Are you sure you want to delete this connection?
Are you sure you want to delete this entity?,Are you sure you want to delete this entity?
Are you sure you want to delete this file?,Are you sure you want to delete this file?
Are you sure you want to delete this item?,Are you sure you want to delete this item?
Are you sure you want to delete this page?,Are you sure you want to delete this page?
Are you sure you want to delete this relationship type?,Are you sure you want to delete this relationship type?
Are you sure you want to delete this thesaurus?,Are you sure you want to delete this thesaurus?
Are you sure you want to reset translation for,Are you sure you want to reset translation for
Attachment deleted,Attachment deleted
Attachment renamed,Attachment renamed
Attachment uploaded,Attachment uploaded
Attachments,Ekler
Authentication code,Kimlik doğrulama kodu
auto-created,otomatik oluşturulmuş
Auto-save,Otomatik kaydetme
Automatic Table of Contents,Otomatik İçindekiler
Automatically generated,Otomatik olarak oluşturuldu
Available default translation,Available default translation
Available Languages,Mevcut Diller
Back,Geriye git
Back to,Geri dön
Back to dashboard,Back to dashboard
Back to search,Aramaya geri dön
Back to thesauri,Thesauri'ye geri dön
Back to thesaurus,Thesaurus'a geri dön
Body,Body
Browse files to upload,Yüklenecek dosyalara göz atın
Browse your PDFs to upload,Yüklemek için PDF'lerinize göz atın
"by ids, methods, keywords, etc.","by ids, methods, keywords, etc."
Can edit,Düzenleyebilir
Can not delete template:,Can not delete template:
Can see,Görebilir
Can view,Görüntüleyebilir
Cancel,İptal et
Canceling...,Canceling...
Cannot delete relationship type:,Cannot delete relationship type:
Cannot delete thesaurus:,Cannot delete thesaurus:
Captcha,Güvenlik kodu
Captcha bypass,"By toggling this on you can allow users to submit to your whitelisted templates without having to fill a CAPTCHA. 
The form will still present the captcha to end users, but API end-point will allow submissions without CAPTCHA validation if a 
header ""Bypass-Captcha: true"" is sent along. This option is insecure and can be leveraged to flood your instance with spam or 
malicious content."
Cards,Fişler
Cards view,Fiş görünümü
Caution: the selected entities will be,Dikkat: seçilen varlıklar
Change password,Parola değiştir
Change will take effect after saving the template,Değişiklik şablonu kaydettikten sonra yürürlüğe girecek
Changes can't be undone after saving. Changing text fields may invalidate the suggestions.,Changes can't be undone after saving. Changing text fields may invalidate the suggestions.
Changing the type will erase all relationships to this entity.,Changing the type will erase all relationships to this entity.
Character support description,This option enhances support for non-Latin languages as the default languages of your collection.
Character support process warningwarning,"This process could take several minutes and will likely change URLs to library filters. If you have menus or links using such URLs, they will probably stop working after the update. You will need to update them manually."
Character support revert warning,"After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Check to make this instance private (only logged-in users can access the data),Bu oluşumu özel yapmak için işaretleyin (yalnızca oturum açmış kullanıcılar verilere erişebilir)
Chrome extension store link,Chrome extension store link
Clear coordinates,Koordinatları temizle
Clear Filters,Filtreleri Temizle
Clear PDF selection,Clear PDF selection
Click,Click
Click here,Buraya tıklayın
Click to fill,Doldurmak için tıklayın
Close,Kapat
Collaborator,Katkı Sunan
Collapse all,Collapse all
Collection,Koleksiyon
Collection name,Collection name
Configuration,Configuration
Configure filters,Filtreleri yapılandır
Configure properties,Configure properties
Configure suggestions,Önerileri yapılandır
Configure templates,Configure templates
Confirm,Onayla
Confirm action,Confirm action
Confirm add,Confirm add
Confirm delete,Confirm delete
Confirm delete connection,Confirm delete connection
Confirm delete entity,Confirm delete entity
Confirm delete file,Confirm delete file
Confirm delete multiple items,Birden çok öğeyi silin
Confirm delete of template:,Confirm delete of template:
Confirm delete page:,Confirm delete page:
Confirm delete relationship type:,Confirm delete relationship type:
confirm delete template,"Are you sure you want to delete this entity type?
        This will delete the template and all relationship properties from other templates pointing to this one."
Confirm delete thesaurus:,Confirm delete thesaurus:
Confirm deletion,Silmeyi onayla
Confirm discard changes,Confirm discard changes
Confirm edit suggestion-enabled Thesaurus,Confirm edit suggestion-enabled Thesaurus
Confirm new password,Yeni parolayı onayla
Confirm publish multiple items,Birden çok öğe yayınlamayı onaylayın
Confirm reset translation,Confirm reset translation
Confirm suggestion acceptance,Confirm suggestion acceptance
Congratulations!,Tebrikler!
Connect to a document,Bir belgeye bağla
Connect to a paragraph,Bir paragrafa bağla
Connected to server,Connected to server
Connection type,Bağlantı türü
Contact email description,Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user
Contact Form,Contact Form
Content translations,Content translations
Context,Context
Conversion failed,Dönüştürülemedi
Copied to clipboard,Copied to clipboard
Copy From,Formu Kopyala
Copy Highlighted,Vurgulananları Kopyala
Copy link,Bağlantıyı kopyala
Copy properties to this entity from,Özellikleri şuradan bu varlığa kopyala
Copy token,Copy token
Could not be processed,Could not be processed
Could not detect the area for the selected text,"Could not detect the area for the selected text, please try selecting again."
Could not reach server. Please try again later.,Could not reach server. Please try again later.
Create,Oluştur
CREATE,Oluştur
Create and edit thesauri,Create and edit thesauri
Create dictionaries,Sözlük oluştur
Create entity,Varlık oluştur
Create Entity,Varlık oluştur
Create group,Grup oluştur
Create new entities and upload documents,Create new entities and upload documents
Create relationship types,Create relationship types
Create relationships and references,Create relationships and references
Create table of contents,Create table of contents
created,oluşturuldu
Created entity,Created entity
Created entity coming from a public form,Created entity coming from a public form
Created page,Created page
Created relation type,Created relation type
Created relationship,Created relationship
Created successfully.,Created successfully.
Created template,Created template
Created thesaurus,Created thesaurus
Created user group,Created user group
Current value,Current value
Currently connections only need a title.,Şu anda bağlantıların yalnızca bir başlığa ihtiyacı var.
Custom component error,Özel Yüklemeler
Custom CSS,Özel CSS
Custom favicon,Custom favicon
custom page error warning,"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details."
Custom starting location,Custom starting location
Custom styles,özel stiller
Custom Uploads,Özel Yüklemeler
Data imported,İçe aktarılan veri
Date added,Eklenme tarihi
Date format,Tarih biçimi
Date modified,Değiştirilme tarihi
Day,Gün
Default language change success,Varsayılan dil değişikliği başarısı
Default template,Varsayılan şablon
Delete,Sil
DELETE,Sil
Delete entities and documents,Delete entities and documents
Delete file,Delete file
Delete Group,Grubu Sil
Delete language,Dili sil
delete language warning,"This action may take some time, can not be undone and will delete all the information in that language."
Delete Property,Özelliği Sil
Deleted attachment,Deleted attachment
Deleted custom file,Deleted custom file
Deleted entity,Deleted entity
Deleted file,Deleted file
Deleted multiple entities,Deleted multiple entities
Deleted page,Deleted page
Deleted relation type,Deleted relation type
Deleted relationship,Deleted relationship
Deleted successfully.,Deleted successfully.
Deleted template,Deleted template
Deleted thesaurus,Deleted thesaurus
Deleted user,Deleted user
Deleted user group,Deleted user group
Deletion success,Deletion success
Description,Tanım
Discard changes,Değişiklikleri göz ardı et
Display entity view from page,Sayfadan varlık görünümünü görüntüle
Document,Belge
Document and entity types,Belge ve varlık türü
Document contents,Belge içeriği
Document Title,Belge Başlığı
Documentation,Dokümantasyon
documents,Belgeler
Documents,Belgeler
documents before training (30 per topic).,eğitimden önceki belgeler (konu başına 30).
Documents for custom filter,Özel filtre için belgeler
Documents including suggestion:,Öneri içeren belgeler:
